ID,Purchasing_Document_Number,Item_Number_of_Purchasing_Document,Is_the_order_deleted,Purchasing_Document_Item _Date,Material_Number,Net_Price_in_Purchasing_Document_(in Document Currency),Account_Assignment_Category,Created_On,Flag_Material_for_Deletion_at_Client_Level,Base_Unit_of_Measure,Net_Weight
4500166529_10,4500166529,10,,2023-11-06,,10000,Partnership,,,,
4210141114_10,4210141114,10,,2023-11-06,7010964,5000,Vendor,2005-12-03,,UN,0.0
4500172734_10,4500172734,10,,2023-11-06,,10000,Partnership,,,,
4500122652_10,4500122652,10,,2023-11-06,,10000,Partnership,,,,
4500150982_10,4500150982,10,,2023-11-06,,10000,Partnership,,,,
4210141372_10,4210141372,10,,2023-11-06,7002025,10000,Vendor,2005-12-03,,UN,0.0
4210141108_90,4210141108,90,,2023-11-06,7004017,10000,Vendor,2005-12-03,,UN,0.0
4500172746_30,4500172746,30,,2023-11-06,8025745,10000,Vendor,2015-02-03,,UN,0.0
4500172746_20,4500172746,20,,2023-11-06,8029970,89500,Vendor,2020-08-13,,UN,0.0
4500172746_10,4500172746,10,,2023-11-06,8031167,10000,Vendor,2022-05-16,,UN,0.0
4500172746_40,4500172746,40,,2023-11-06,8031167,10000,Vendor,2022-05-16,,UN,0.0
4210141376_10,4210141376,10,,2023-11-06,,10000,Partnership,,,,
4500172752_10,4500172752,10,,2023-11-06,,10000,Partnership,,,,
4500172736_10,4500172736,10,,2023-11-06,8025121,10000,Partnership,2014-11-21,,UN,0.0
4500172740_1,4500172740,1,,2023-11-06,,5000,Partnership,,,,
4500172738_1,4500172738,1,,2023-11-06,,5000,Partnership,,,,
4500172760_10,4500172760,10,,2023-11-06,120207,10000,Vendor,2013-02-21,,KG,15.0
4500172754_1,4500172754,1,,2023-11-06,,5000,Partnership,,,,
4210141114_40,4210141114,40,,2023-11-06,7010977,5000,Vendor,2005-12-03,,UN,0.0
4500158477_750,4500158477,750,,2023-11-06,120217,10000,Vendor,2013-07-02,,KG,25.0
4500156190_10,4500156190,10,,2023-11-06,FACONNAGE,10000,Partnership,2006-07-20,,UN,0.0
4500172744_40,4500172744,40,,2023-11-06,,10000,Partnership,,,,
4500172744_50,4500172744,50,,2023-11-06,,10000,Partnership,,,,
4500172744_10,4500172744,10,,2023-11-06,,10000,Partnership,,,,
4500158477_790,4500158477,790,,2023-11-06,120237,10000,Vendor,2018-10-23,,KG,20.0
4500172797_1,4500172797,1,,2023-11-06,,10000,Partnership,,,,
4210141371_10,4210141371,10,,2023-11-06,7002024,10000,Vendor,2005-12-03,,UN,0.0
4500172728_10,4500172728,10,,2023-11-06,,10000,Partnership,,,,
4500172802_1,4500172802,1,,2023-11-06,,10000,Partnership,,,,
4220038379_30,4220038379,30,,2023-11-06,,4945000,Partnership,,,,
4220038379_60,4220038379,60,,2023-11-06,,10000,Partnership,,,,
4500172761_20,4500172761,20,,2023-11-06,8013201,10000,Vendor,2013-02-20,,UN,0.0
4500172761_10,4500172761,10,,2023-11-06,8023166,10000,Vendor,2014-01-07,,UN,0.0
4220038275_60,4220038275,60,,2023-11-06,,10000,Partnership,,,,
4500172770_10,4500172770,10,,2023-11-06,,10000,Partnership,,,,
4220039956_10,4220039956,10,,2023-11-06,,168280,Partnership,,,,
4500172748_10,4500172748,10,,2023-11-06,8039033,10000,Vendor,2022-11-16,,UN,0.0
4500172749_10,4500172749,10,,2023-11-06,8038240,5000,Vendor,2022-09-19,,UN,0.0
4500172756_10,4500172756,10,,2023-11-06,,10000,Partnership,,,,
5500008300_10,5500008300,10,,2023-11-06,111921,10000,Vendor,2013-09-09,,KG,5.0
4500172727_10,4500172727,10,,2023-11-06,8026010,10000,Partnership,2015-05-02,,UN,0.0
4210141195_20,4210141195,20,,2023-11-06,7009670,10000,Vendor,2005-12-03,,UN,0.0
4500172744_30,4500172744,30,,2023-11-06,,10000,Partnership,,,,
4500172744_20,4500172744,20,,2023-11-06,,10000,Partnership,,,,
4210141381_10,4210141381,10,,2023-11-06,,10000,Partnership,,,,
4500172663_50,4500172663,50,,2023-11-06,,10000,Partnership,,,,
4500171946_10,4500171946,10,,2023-11-06,,10000,Partnership,,,,
4220038640_40,4220038640,40,,2023-11-06,,10000,Partnership,,,,
4500172776_1,4500172776,1,,2023-11-06,,10000,Partnership,,,,
4500172769_1,4500172769,1,,2023-11-06,,149300,Partnership,,,,
4500156189_10,4500156189,10,,2023-11-06,FACONNAGE,10000,Partnership,2006-07-20,,UN,0.0
4500156188_10,4500156188,10,,2023-11-06,FACONNAGE,10000,Partnership,2006-07-20,,UN,0.0
4210135166_80,4210135166,80,,2023-11-06,7054489,10000,Vendor,2023-11-03,,UN,0.0
4500156186_10,4500156186,10,,2023-11-06,FACONNAGE,10000,Partnership,2006-07-20,,UN,0.0
4500156184_10,4500156184,10,,2023-11-06,FACONNAGE,10000,Partnership,2006-07-20,,UN,0.0
4500156183_10,4500156183,10,,2023-11-06,FACONNAGE,10000,Partnership,2006-07-20,,UN,0.0
4500172782_10,4500172782,10,,2023-11-06,55047504,10000,Partnership,2021-09-29,,KG,20.0
4500158477_740,4500158477,740,,2023-11-06,120216,10000,Vendor,2013-07-02,,KG,5.0
4500158477_720,4500158477,720,,2023-11-06,120208,10000,Vendor,2013-02-21,,KG,25.0
4220038640_30,4220038640,30,,2023-11-06,,785000,Partnership,,,,
4500169761_10,4500169761,10,,2023-11-06,33315105,10000,Partnership,2006-11-13,,KG,25.0
4500156326_20,4500156326,20,,2023-11-06,,7805000,Partnership,,,,
4500169646_10,4500169646,10,,2023-11-06,,2605000,Partnership,,,,
5500008220_10,5500008220,10,,2023-11-06,166327,10000,Vendor,2023-01-13,,KG,25.0
4210141368_10,4210141368,10,,2023-11-06,,22940,Partnership,,,,
4210141375_10,4210141375,10,,2023-11-06,,5130,Partnership,,,,
4500172779_1,4500172779,1,,2023-11-06,,122260,Partnership,,,,
4500172785_1,4500172785,1,,2023-11-06,,98730,Partnership,,,,
4500158477_730,4500158477,730,,2023-11-06,120209,10000,Vendor,2013-02-21,,KG,25.0
4210141363_10,4210141363,10,,2023-11-06,,72600,Partnership,,,,
4500158477_760,4500158477,760,,2023-11-06,120218,10000,Vendor,2013-07-02,,KG,15.0
4500172768_20,4500172768,20,,2023-11-06,54000003,10000,Vendor,2016-05-11,,KG,10.0
4500171888_10,4500171888,10,,2023-11-06,8028355,10000,Vendor,2018-07-31,,UN,0.0
4500172733_10,4500172733,10,,2023-11-06,8024204,10000,Vendor,2014-04-24,,UN,0.0
4500172733_40,4500172733,40,,2023-11-06,8024199,10000,Vendor,2014-04-24,,UN,0.0
4500172733_20,4500172733,20,,2023-11-06,8024203,10000,Vendor,2014-04-24,,UN,0.0
4500172733_50,4500172733,50,,2023-11-06,8024198,10000,Vendor,2014-04-24,,UN,0.0
4500172733_30,4500172733,30,,2023-11-06,8024202,10000,Vendor,2014-04-24,,UN,0.0
4210141367_10,4210141367,10,,2023-11-06,,158400,Partnership,,,,
4500172789_1,4500172789,1,,2023-11-06,,10000,Partnership,,,,
4220038299_10,4220038299,10,,2023-11-06,,5855000,Partnership,,,,
4500172801_1,4500172801,1,,2023-11-06,,23850,Partnership,,,,
4220038299_40,4220038299,40,,2023-11-06,,10000,Partnership,,,,
4400010251_20,4400010251,20,,2023-11-06,56620403,10000,Vendor,2018-09-21,,KG,10.0
4500172750_20,4500172750,20,,2023-11-06,8025370,10000,Vendor,2014-12-22,,UN,0.0
4500172750_10,4500172750,10,,2023-11-06,8039377,10000,Vendor,2023-01-06,,UN,0.0
4500172768_30,4500172768,30,,2023-11-06,54000003,10000,Vendor,2016-05-11,,KG,10.0
4500172792_1,4500172792,1,,2023-11-06,,10000,Partnership,,,,
4500132528_80,4500132528,80,,2023-11-06,,10000,Partnership,,,,
5500008065_10,5500008065,10,,2023-11-06,36622602,10000,Vendor,2003-03-20,,L,0.0
4500172753_1,4500172753,1,,2023-11-06,,5000,Partnership,,,,
4500162398_10,4500162398,10,,2023-11-06,910221,10000,Vendor,2016-07-05,,UN,0.0
4220038205_30,4220038205,30,,2023-11-06,,10000,Partnership,,,,
4500172805_1,4500172805,1,,2023-11-06,,10000,Partnership,,,,
4210141383_10,4210141383,10,,2023-11-06,,10000,Partnership,,,,
4300012724_10,4300012724,10,,2023-11-06,50010001,10000,Vendor,1998-09-22,,KG,10.0
4500132528_70,4500132528,70,,2023-11-06,,10000,Partnership,,,,
4300012721_10,4300012721,10,,2023-11-06,56590158,10000,Vendor,2014-10-07,,KG,5.0
4500172732_10,4500172732,10,,2023-11-06,,1435000,Partnership,,,,
4500172795_1,4500172795,1,,2023-11-06,,10000,Partnership,,,,
4500145380_10,4500145380,10,,2023-11-06,,1305000,Partnership,,,,
4210140231_10,4210140231,10,,2023-11-06,7006332,158920,Vendor,2005-12-03,,UN,0.0
4500172804_1,4500172804,1,,2023-11-06,,10000,Partnership,,,,
4500172771_1,4500172771,1,,2023-11-06,,10000,Partnership,,,,
4500172747_10,4500172747,10,,2023-11-06,8041390,10000,Vendor,2023-10-17,,UN,0.0
4300013133_10,4300013133,10,,2023-11-06,9000040,76500,Partnership,2010-10-02,,UN,0.0
4500171459_10,4500171459,10,,2023-11-06,55040211,10000,Vendor,2020-09-09,,KG,10.0
4210134611_100,4210134611,100,,2023-11-06,,60120,Partnership,,,,
4500172806_1,4500172806,1,,2023-11-06,,10000,Partnership,,,,
4210134611_70,4210134611,70,,2023-11-06,,10000,Partnership,,,,
4500132528_20,4500132528,20,,2023-11-06,,10000,Partnership,,,,
4500132528_10,4500132528,10,,2023-11-06,,10000,Partnership,,,,
4210134611_80,4210134611,80,,2023-11-06,,240430,Partnership,,,,
4210134611_90,4210134611,90,,2023-11-06,,200000,Partnership,,,,
4210134611_40,4210134611,40,,2023-11-06,,330000,Partnership,,,,
4500132528_100,4500132528,100,,2023-11-06,,10000,Partnership,,,,
4500172784_10,4500172784,10,,2023-11-06,55064301,10000,Vendor,2021-02-23,,KG,25.0
4500172783_10,4500172783,10,,2023-11-06,55068408,10000,Vendor,2021-02-23,,KG,20.0
4500172745_40,4500172745,40,,2023-11-06,,10000,Partnership,,,,
4500137971_10,4500137971,10,,2023-11-06,,32505000,Partnership,,,,
4500172732_20,4500172732,20,,2023-11-06,,1435000,Partnership,,,,
4500132528_90,4500132528,90,,2023-11-06,,10000,Partnership,,,,
4500172676_10,4500172676,10,,2023-11-06,55066001,10000,Vendor,2021-02-23,,KG,15.0
4300013134_10,4300013134,10,,2023-11-06,9000087,10000,Partnership,2010-10-02,,UN,0.0
4400010251_10,4400010251,10,,2023-11-06,56620401,10000,Vendor,2014-09-22,,KG,15.0
4300013134_20,4300013134,20,,2023-11-06,9000087,10000,Partnership,2010-10-02,,UN,0.0
4500172743_10,4500172743,10,,2023-11-06,,10000,Partnership,,,,
4500172735_10,4500172735,10,,2023-11-06,,10000,Partnership,,,,
4210141362_10,4210141362,10,,2023-11-06,,783570,Partnership,,,,
4210141362_20,4210141362,20,,2023-11-06,,43350,Partnership,,,,
4210141362_30,4210141362,30,,2023-11-06,,163600,Partnership,,,,
4220039957_10,4220039957,10,,2023-11-06,,10000,Partnership,,,,
4210141384_10,4210141384,10,,2023-11-06,,5130,Partnership,,,,
4500132528_40,4500132528,40,,2023-11-06,,10000,Partnership,,,,
4500132528_30,4500132528,30,,2023-11-06,,10000,Partnership,,,,
4210136341_10,4210136341,10,,2023-11-06,7005297,486000,Vendor,2005-12-03,,UN,0.0
4210138872_20,4210138872,20,,2023-11-06,,131100,Partnership,,,,
4210138872_30,4210138872,30,,2023-11-06,,167500,Partnership,,,,
4500172794_1,4500172794,1,,2023-11-06,,21640,Partnership,,,,
4500172663_60,4500172663,60,,2023-11-06,,10000,Partnership,,,,
4500172663_20,4500172663,20,,2023-11-06,8021139,10000,Vendor,2013-04-08,,UN,0.0
4500172663_10,4500172663,10,,2023-11-06,8021136,10000,Vendor,2013-04-08,,UN,0.0
4500122652_30,4500122652,30,,2023-11-06,,10000,Partnership,,,,
4210141114_50,4210141114,50,,2023-11-06,7046613,5000,Vendor,2018-04-27,,UN,0.0
4210141337_20,4210141337,20,,2023-11-06,7003583,6560,Vendor,2005-12-03,,UN,0.0
4500122652_20,4500122652,20,,2023-11-06,,10000,Partnership,,,,
4500172768_10,4500172768,10,,2023-11-06,55043501,10000,Vendor,2019-07-15,,KG,25.0
4500172758_1,4500172758,1,,2023-11-06,,5000,Partnership,,,,
4500172759_1,4500172759,1,,2023-11-06,,5000,Partnership,,,,
4500172757_10,4500172757,10,,2023-11-06,8034746,10000,Vendor,2022-06-28,,UN,0.0
4300013134_110,4300013134,110,,2023-11-06,9000087,10000,Partnership,2010-10-02,,UN,0.0
4300013134_30,4300013134,30,,2023-11-06,9000087,10000,Partnership,2010-10-02,,UN,0.0
4300013134_40,4300013134,40,,2023-11-06,9000087,10000,Partnership,2010-10-02,,UN,0.0
4300013134_50,4300013134,50,,2023-11-06,9000087,10000,Partnership,2010-10-02,,UN,0.0
4500132528_60,4500132528,60,,2023-11-06,,10000,Partnership,,,,
4300013134_60,4300013134,60,,2023-11-06,9000087,10000,Partnership,2010-10-02,,UN,0.0
4210140415_20,4210140415,20,,2023-11-06,7034890,1136000,Partnership,2011-10-20,,UN,0.0
4210140415_30,4210140415,30,,2023-11-06,7034890,5130,Vendor,2011-10-20,,UN,0.0
4300013134_70,4300013134,70,,2023-11-06,9000087,10000,Partnership,2010-10-02,,UN,0.0
4300012795_10,4300012795,10,,2023-11-06,50050926,26840,Vendor,2018-04-11,,KG,25.0
4210141195_10,4210141195,10,,2023-11-06,7009669,10000,Vendor,2005-12-03,,UN,0.0
4300013134_100,4300013134,100,,2023-11-06,9000087,10000,Partnership,2010-10-02,,UN,0.0
4300013134_80,4300013134,80,,2023-11-06,9000087,10000,Partnership,2010-10-02,,UN,0.0
4300013134_90,4300013134,90,,2023-11-06,9000087,10000,Partnership,2010-10-02,,UN,0.0
4220038192_20,4220038192,20,,2023-11-06,,10000,Partnership,,,,
4210141380_10,4210141380,10,,2023-11-06,,5130,Partnership,,,,
4500172809_70,4500172809,70,,2023-11-07,8039945,10000,Vendor,2023-06-28,,UN,0.0
4500172832_80,4500172832,80,,2023-11-07,,10000,Partnership,,,,
4500172809_80,4500172809,80,,2023-11-07,8039877,10000,Vendor,2023-06-28,,UN,0.0
4500172809_60,4500172809,60,,2023-11-07,8040027,10000,Vendor,2023-06-28,,UN,0.0
4500172809_160,4500172809,160,,2023-11-07,8039476,10000,Vendor,2023-04-13,,UN,0.0
4500172832_60,4500172832,60,,2023-11-07,,10000,Partnership,,,,
4500172809_100,4500172809,100,,2023-11-07,8039743,10000,Vendor,2023-06-28,,UN,0.0
4500172887_1,4500172887,1,,2023-11-07,,10000,Partnership,,,,
4500172809_110,4500172809,110,,2023-11-07,8039742,10000,Vendor,2023-06-28,,UN,0.0
4500172809_120,4500172809,120,,2023-11-07,8039708,10000,Vendor,2023-06-28,,UN,0.0
4500172832_40,4500172832,40,,2023-11-07,,10000,Partnership,,,,
4500172809_210,4500172809,210,,2023-11-07,8039459,10000,Vendor,2023-04-13,,UN,0.0
6000037736_10,6000037736,10,,2023-11-07,7005262,5000,Vendor,2005-12-03,,UN,0.0
4500172809_90,4500172809,90,,2023-11-07,8039829,10000,Vendor,2023-06-28,,UN,0.0
4500172832_70,4500172832,70,,2023-11-07,,10000,Partnership,,,,
4500172832_10,4500172832,10,,2023-11-07,,10000,Partnership,,,,
4500172809_50,4500172809,50,,2023-11-07,8040028,10000,Vendor,2023-06-28,,UN,0.0
4500172832_90,4500172832,90,,2023-11-07,,10000,Partnership,,,,
4500172892_1,4500172892,1,,2023-11-07,,263700,Partnership,,,,
4210141143_10,4210141143,10,,2023-11-07,,10000,Partnership,,,,
4500172832_50,4500172832,50,,2023-11-07,,10000,Partnership,,,,
4500172832_30,4500172832,30,,2023-11-07,,10000,Partnership,,,,
4500172832_130,4500172832,130,,2023-11-07,,10000,Partnership,,,,
4500172832_140,4500172832,140,,2023-11-07,,10000,Partnership,,,,
4500172809_30,4500172809,30,,2023-11-07,8040081,10000,Vendor,2023-06-28,,UN,0.0
4500172832_100,4500172832,100,,2023-11-07,,10000,Partnership,,,,
4500172832_120,4500172832,120,,2023-11-07,,10000,Partnership,,,,
4500172809_40,4500172809,40,,2023-11-07,8040080,10000,Vendor,2023-06-28,,UN,0.0
4210141399_10,4210141399,10,,2023-11-07,,10000,Partnership,,,,
4500172757_20,4500172757,20,,2023-11-07,8034747,10000,Vendor,2022-06-28,,UN,0.0
4400010254_10,4400010254,10,,2023-11-07,50010001,10000,Vendor,1998-09-22,,KG,10.0
4210141103_10,4210141103,10,,2023-11-07,7019844,10000,Vendor,2007-04-24,,UN,0.0
4210141389_20,4210141389,20,,2023-11-07,7000081,10000,Vendor,2005-12-03,,UN,0.0
4500172883_1,4500172883,1,,2023-11-07,,10000,Partnership,,,,
4210141160_10,4210141160,10,,2023-11-07,,10000,Partnership,,,,
4210140860_10,4210140860,10,,2023-11-07,,10000,Partnership,,,,
4400010252_10,4400010252,10,,2023-11-07,55075627,10000,Partnership,2023-06-26,,KG,25.0
4400010252_20,4400010252,20,,2023-11-07,55078417,10000,Partnership,2023-06-26,,KG,5.0
4210140975_20,4210140975,20,,2023-11-07,7054419,10000,Vendor,2023-10-18,,M,0.0
4300012977_10,4300012977,10,,2023-11-07,30040002,10000,Vendor,1998-10-01,,KG,5.0
4300012974_10,4300012974,10,,2023-11-07,30040002,10000,Vendor,1998-10-01,,KG,5.0
4220039961_10,4220039961,10,,2023-11-07,,521100,Partnership,,,,
4210140980_60,4210140980,60,,2023-11-07,7048494,10000,Vendor,2019-01-18,,UN,0.0
4210141170_20,4210141170,20,,2023-11-07,7045173,10000,Vendor,2017-05-10,,UN,0.0
4210141170_30,4210141170,30,,2023-11-07,7045202,20340,Vendor,2017-05-19,,UN,0.0
4400010253_10,4400010253,10,,2023-11-07,55051551,10000,Partnership,2021-07-09,,KG,25.0
4210141194_10,4210141194,10,,2023-11-07,7008486,10000,Vendor,2005-12-03,,UN,0.0
4210139158_20,4210139158,20,,2023-11-07,,474820,Partnership,,,,
4220039850_10,4220039850,10,,2023-11-07,,10000,Partnership,,,,
4300013141_10,4300013141,10,,2023-11-07,30040002,10000,Vendor,1998-10-01,,KG,5.0
4210141170_10,4210141170,10,,2023-11-07,7010312,10000,Vendor,2005-12-03,,UN,0.0
4300013146_10,4300013146,10,,2023-11-07,30040005,10000,Vendor,2006-06-01,,KG,25.0
4210141402_10,4210141402,10,,2023-11-07,,5130,Partnership,,,,
4210141397_10,4210141397,10,,2023-11-07,,10000,Partnership,,,,
4210140069_10,4210140069,10,,2023-11-07,7019905,104190,Vendor,2007-04-24,,UN,0.0
4500172837_1,4500172837,1,,2023-11-07,,10000,Partnership,,,,
4210141395_20,4210141395,20,,2023-11-07,,5130,Partnership,,,,
4210141395_10,4210141395,10,,2023-11-07,,5130,Partnership,,,,
4500172870_10,4500172870,10,,2023-11-07,55064301,10000,Vendor,2021-02-23,,KG,25.0
4210140543_10,4210140543,10,,2023-11-07,7044561,10000,Vendor,2016-10-10,,UN,0.0
4300012978_10,4300012978,10,,2023-11-07,30040002,10000,Vendor,1998-10-01,,KG,5.0
4210141076_10,4210141076,10,,2023-11-07,,5130,Partnership,,,,
4500172855_1,4500172855,1,,2023-11-07,,10000,Partnership,,,,
4500171106_10,4500171106,10,,2023-11-07,950044,10000,Vendor,2016-04-01,,UN,0.0
4500172824_1,4500172824,1,,2023-11-07,,1066450,Partnership,,,,
4500168948_10,4500168948,10,,2023-11-07,950046,10000,Vendor,2018-03-09,,UN,0.0
5500008225_10,5500008225,10,,2023-11-07,910202,10000,Vendor,2015-09-07,,UN,0.0
4210141386_10,4210141386,10,,2023-11-07,,10070,Partnership,,,,
4210141392_10,4210141392,10,,2023-11-07,,10000,Partnership,,,,
4210141392_20,4210141392,20,,2023-11-07,,196100,Partnership,,,,
4500172888_1,4500172888,1,,2023-11-07,,48810,Partnership,,,,
4300013145_10,4300013145,10,,2023-11-07,30040005,10000,Vendor,2006-06-01,,KG,25.0
4210140573_10,4210140573,10,,2023-11-07,7038585,10000,Vendor,2013-04-24,,UN,0.0
4500172891_1,4500172891,1,,2023-11-07,,10000,Partnership,,,,
4500172809_150,4500172809,150,,2023-11-07,8039678,10000,Vendor,2023-06-28,,UN,0.0
4500172809_140,4500172809,140,,2023-11-07,8039679,10000,Vendor,2023-06-28,,UN,0.0
4500172809_10,4500172809,10,,2023-11-07,8017509,10000,Vendor,2013-02-20,,UN,0.0
4500172809_230,4500172809,230,,2023-11-07,8029113,10000,Vendor,2019-04-26,,UN,0.0
4500172809_190,4500172809,190,,2023-11-07,8039469,10000,Vendor,2023-04-13,,UN,0.0
4210138978_30,4210138978,30,,2023-11-07,7041852,128500,Vendor,2015-03-06,,UN,0.0
4500172809_20,4500172809,20,,2023-11-07,8039477,10000,Vendor,2023-04-13,,UN,0.0
4500172809_240,4500172809,240,,2023-11-07,8030902,10000,Vendor,2021-09-16,,UN,0.0
4500172809_170,4500172809,170,,2023-11-07,8039474,10000,Vendor,2023-04-13,,UN,0.0
4210139066_10,4210139066,10,,2023-11-07,,10000,Partnership,,,,
4210138978_20,4210138978,20,,2023-11-07,7045273,206500,Vendor,2017-06-14,,UN,0.0
4500172832_20,4500172832,20,,2023-11-07,,10000,Partnership,,,,
4210138978_10,4210138978,10,,2023-11-07,7045361,421000,Vendor,2017-06-30,,UN,0.0
4500172809_270,4500172809,270,,2023-11-07,8030900,10000,Vendor,2021-09-16,,UN,0.0
4500172809_250,4500172809,250,,2023-11-07,8030901,10000,Vendor,2021-09-16,,UN,0.0
4500172809_130,4500172809,130,,2023-11-07,8039707,10000,Vendor,2023-06-28,,UN,0.0
4500172809_280,4500172809,280,,2023-11-07,8030424,10000,Vendor,2020-12-07,,UN,0.0
4500172809_260,4500172809,260,,2023-11-07,8031116,10000,Vendor,2022-04-20,,UN,0.0
4210141406_10,4210141406,10,,2023-11-07,,73900,Partnership,,,,
4500172832_110,4500172832,110,,2023-11-07,,10000,Partnership,,,,
4300013142_10,4300013142,10,,2023-11-07,30040002,10000,Vendor,1998-10-01,,KG,5.0
4500172821_10,4500172821,10,,2023-11-07,133633,55700,Vendor,2013-06-24,,KG,20.0
4210141389_10,4210141389,10,,2023-11-07,7000136,10000,Vendor,2005-12-03,,UN,0.0
4300013140_10,4300013140,10,,2023-11-07,30040002,10000,Vendor,1998-10-01,,KG,5.0
4210141409_20,4210141409,20,,2023-11-07,,10000,Partnership,,,,
6000037738_10,6000037738,10,,2023-11-07,7036677,5000,Vendor,2012-08-16,,UN,0.0
4210141409_10,4210141409,10,,2023-11-07,,10000,Partnership,,,,
4500172834_10,4500172834,10,,2023-11-07,,10000,Partnership,,,,
4210141388_10,4210141388,10,,2023-11-07,7000062,10000,Vendor,2005-12-03,,UN,0.0
4210141388_20,4210141388,20,,2023-11-07,7000068,10000,Vendor,2005-12-03,,UN,0.0
4210141388_60,4210141388,60,,2023-11-07,7000033,10000,Vendor,2005-12-03,,UN,0.0
4210141205_40,4210141205,40,,2023-11-07,7054451,10000,Vendor,2023-10-26,,UN,0.0
4210141388_50,4210141388,50,,2023-11-07,7000074,10000,Vendor,2005-12-03,,UN,0.0
4210141388_40,4210141388,40,,2023-11-07,7000072,10000,Vendor,2005-12-03,,UN,0.0
4210141388_30,4210141388,30,,2023-11-07,7000069,10000,Vendor,2005-12-03,,UN,0.0
4500172851_1,4500172851,1,,2023-11-07,,65450,Partnership,,,,
4210141388_70,4210141388,70,,2023-11-07,7000036,8900,Vendor,2005-12-03,,UN,0.0
4500172848_10,4500172848,10,,2023-11-07,,10000,Partnership,,,,
4300012725_10,4300012725,10,,2023-11-07,50010001,10000,Vendor,1998-09-22,,KG,10.0
4500172812_370,4500172812,370,,2023-11-07,,10000,Partnership,,,,
4210141387_10,4210141387,10,,2023-11-07,,10000,Partnership,,,,
4500172818_1,4500172818,1,,2023-11-07,,5000,Partnership,,,,
4500172812_50,4500172812,50,,2023-11-07,,10000,Partnership,,,,
4300012602_10,4300012602,10,,2023-11-07,58090049,10000,Vendor,2014-07-22,,L,0.0
4500172825_1,4500172825,1,,2023-11-07,,5000,Partnership,,,,
4500172886_1,4500172886,1,,2023-11-07,,10000,Partnership,,,,
4300012602_40,4300012602,40,,2023-11-07,58080049,8120,Vendor,2014-07-22,,L,0.0
4210141416_10,4210141416,10,,2023-11-07,,21900,Partnership,,,,
4300013136_10,4300013136,10,,2023-11-07,9000087,10000,Partnership,2010-10-02,,UN,0.0
4300013137_10,4300013137,10,,2023-11-07,9000087,10000,Partnership,2010-10-02,,UN,0.0
4210141394_10,4210141394,10,,2023-11-07,7054420,10000,Vendor,2023-10-18,,UN,0.0
4210141394_20,4210141394,20,,2023-11-07,7049159,10000,Vendor,2019-08-22,,UN,0.0
4210140140_40,4210140140,40,,2023-11-07,7010840,10000,Vendor,2005-12-03,,UN,0.0
4500172884_1,4500172884,1,,2023-11-07,,10000,Partnership,,,,
4500162628_30,4500162628,30,,2023-11-07,199114,27490,Vendor,1998-10-17,,KG,5.0
4210140140_30,4210140140,30,,2023-11-07,7010790,15790,Vendor,2005-12-03,,UN,0.0
4210140140_20,4210140140,20,,2023-11-07,7010515,10000,Vendor,2005-12-03,,UN,0.0
4210140140_10,4210140140,10,,2023-11-07,7010513,10000,Vendor,2005-12-03,,UN,0.0
6000037737_10,6000037737,10,,2023-11-07,7036677,5000,Vendor,2012-08-16,,UN,0.0
4500172812_60,4500172812,60,,2023-11-07,,10000,Partnership,,,,
4500172812_80,4500172812,80,,2023-11-07,,10000,Partnership,,,,
4210141398_10,4210141398,10,,2023-11-07,,10000,Partnership,,,,
4500172812_100,4500172812,100,,2023-11-07,,10000,Partnership,,,,
4500172812_110,4500172812,110,,2023-11-07,,10000,Partnership,,,,
4210141400_10,4210141400,10,,2023-11-07,,10000,Partnership,,,,
4500172812_120,4500172812,120,,2023-11-07,,10000,Partnership,,,,
4500172505_10,4500172505,10,,2023-11-07,110214,96000,Vendor,1998-12-18,,KG,5.0
6000037740_10,6000037740,10,,2023-11-07,7036070,5000,Vendor,2012-06-12,,UN,0.0
4210140798_10,4210140798,10,,2023-11-07,,65450,Partnership,,,,
4220039950_10,4220039950,10,,2023-11-07,,503550,Partnership,,,,
4500172859_1,4500172859,1,,2023-11-07,,899400,Partnership,,,,
4500172819_1,4500172819,1,,2023-11-07,,5000,Partnership,,,,
4220039967_10,4220039967,10,,2023-11-07,,10000,Partnership,,,,
4500172875_1,4500172875,1,,2023-11-07,,10000,Partnership,,,,
4500172845_1,4500172845,1,,2023-11-07,,10000,Partnership,,,,
4500172881_1,4500172881,1,,2023-11-07,,10000,Partnership,,,,
4210141404_10,4210141404,10,,2023-11-07,,128500,Partnership,,,,
4210139384_30,4210139384,30,,2023-11-07,7034451,10000,Vendor,2011-05-13,,UN,0.0
4210139384_50,4210139384,50,,2023-11-07,7034455,10000,Vendor,2011-05-13,,UN,0.0
4500172812_160,4500172812,160,,2023-11-07,,10000,Partnership,,,,
4210141298_10,4210141298,10,,2023-11-07,7054213,10000,Vendor,2023-08-09,,UN,0.0
4500172812_460,4500172812,460,,2023-11-07,,10000,Partnership,,,,
4500172867_1,4500172867,1,,2023-11-07,,49980,Partnership,,,,
4220039964_10,4220039964,10,,2023-11-07,,10000,Partnership,,,,
4500172812_210,4500172812,210,,2023-11-07,,10000,Partnership,,,,
4500172812_270,4500172812,270,,2023-11-07,,10000,Partnership,,,,
4500172812_430,4500172812,430,,2023-11-07,,10000,Partnership,,,,
4500172815_1,4500172815,1,,2023-11-07,,5000,Partnership,,,,
4500172812_440,4500172812,440,,2023-11-07,,10000,Partnership,,,,
